"daily_curr_date","daily_curr_name","daily_curr_rate"
"2024-11-16","RMB","1"
"2024-11-16","EUR","7.633588"
"2024-11-16","CZK","0.302115"
"2024-11-16","RUB","0.072569"
"2024-11-16","CNY","1"
"2024-11-16","USD","7.246377"
"2024-11-16","GBP","9.174312"
"2024-11-16","HKD","0.925926"
"2024-11-16","JPY","0.046685"
"2025-08-30","RMB","1"
"2025-08-30","CNY","1"
"2024-11-22","RMB","1"
"2024-11-22","CNY","1"
"2025-08-30","CZK","0"
"2025-08-30","EUR","8.3099"
"2025-08-30","GBP","9.6035"
"2025-08-30","HKD","0.9134"
"2025-08-30","JPY","0.048344"
"2025-08-30","RUB","0.0853"
"2025-08-30","USD","7.1224"
"2025-09-01","RMB","1"
"2025-09-01","CNY","1"
"2024-11-18","RMB","1"
"2024-11-18","EUR","7.6255"
"2024-11-18","CZK","0.302115"
"2024-11-18","RUB","0.0705"
"2024-11-18","CNY","1"
"2024-11-18","USD","7.2265"
"2024-11-18","GBP","9.1147"
"2024-11-18","HKD","0.9283"
"2024-11-18","JPY","0.046558"
"2024-11-30","RMB","1"
"2024-11-30","CNY","1"
"2024-11-30","EUR","7.643"
"2024-11-30","GBP","9.2042"
"2024-11-30","HKD","0.9298"
"2024-11-30","JPY","0.048259"
"2024-11-30","RUB","0.067476"
"2024-11-30","USD","7.246377"
"2025-08-31","CZK","0"
"2025-08-31","EUR","8.3099"
"2025-08-31","GBP","9.6035"
"2025-08-31","HKD","0.9134"
"2025-08-31","JPY","0.048344"
"2025-08-31","RUB","0.0853"
"2025-08-31","USD","7.1224"
"2024-11-20","CZK","0.30303"
"2025-03-11","RMB","1"
"2025-03-11","CNY","1"
"2025-05-08","EUR","8.1129"
"2025-05-08","GBP","9.5854"
"2025-05-08","HKD","0.9295"
"2025-05-08","JPY","0.049591"
"2025-05-08","RUB","0.0855"
"2025-05-08","USD","7.2262"
"2025-05-30","RMB","1"
"2025-05-30","CNY","1"
"2025-06-19","RMB","1"
"2025-06-19","CNY","1"
"2025-06-19","EUR","8.2173"
"2025-06-19","GBP","9.6224"
"2025-06-19","HKD","0.9141"
"2025-06-19","JPY","0.049167"
"2025-06-19","RUB","0.0876"
"2025-06-19","USD","7.1763"
"2025-08-28","CZK","0"
"2025-08-28","EUR","8.293"
"2025-08-28","GBP","9.603"
"2025-08-28","HKD","0.9133"
"2025-08-28","JPY","0.04833"
"2025-08-28","RUB","0.0852"
"2025-08-28","USD","7.1194"
"2024-11-23","RMB","1"
"2024-11-23","CNY","1"
"2024-11-25","CZK","0.298507"
"2024-12-13","RMB","1"
"2024-12-13","CNY","1"
"2024-12-13","EUR","7.6046"
"2024-12-13","GBP","9.146"
"2024-12-13","HKD","0.9342"
"2024-12-13","JPY","0.047209"
"2024-12-13","RUB","0.0682"
"2024-12-13","USD","7.2652"
"2024-12-18","RMB","1"
"2024-12-18","CNY","1"
"2025-02-13","EUR","7.58"
"2025-02-13","GBP","9.0974"
"2025-02-13","HKD","0.9345"
"2025-02-13","JPY","0.047439"
"2025-02-13","RUB","0.0756"
"2025-02-13","USD","7.2791"
"2025-03-05","RMB","1"
"2025-03-05","CNY","1"
"2025-03-05","EUR","7.7586"
"2025-03-05","GBP","9.2707"
"2024-11-21","EUR","7.5885"
"2024-11-21","GBP","9.1079"
"2024-11-21","HKD","0.9282"
"2024-11-21","JPY","0.046765"
"2024-11-21","RUB","0.0705"
"2024-11-21","USD","7.2257"
"2024-11-23","EUR","7.5253"
"2024-11-23","GBP","9.0549"
"2024-11-23","HKD","0.9296"
"2024-11-23","JPY","0.04665"
"2024-11-23","RUB","0.070721"
"2024-11-23","USD","7.246377"
"2024-11-23","CZK","0.299401"
"2024-12-06","CZK","0.304878"
"2024-12-15","CZK","0.304878"
"2024-12-19","EUR","7.5575"
"2024-12-19","GBP","9.136"
